"DateTime","Games"
"2019-08-01 00:00:00",744
"2019-09-01 00:00:00",713
"2019-10-01 00:00:00",722
"2019-11-01 00:00:00",697
"2019-12-01 00:00:00",637
"2020-01-01 00:00:00",690
"2020-02-01 00:00:00",715
"2020-03-01 00:00:00",667
"2020-04-01 00:00:00",754
"2020-05-01 00:00:00",802
"2020-06-01 00:00:00",744
"2020-07-01 00:00:00",876
"2020-08-01 00:00:00",850
"2020-09-01 00:00:00",827
"2020-10-01 00:00:00",969
"2020-11-01 00:00:00",866
"2020-12-01 00:00:00",911
"2021-01-01 00:00:00",744
"2021-02-01 00:00:00",855
"2021-03-01 00:00:00",950
"2021-04-01 00:00:00",886
"2021-05-01 00:00:00",914
"2021-06-01 00:00:00",921
"2021-07-01 00:00:00",922
"2021-08-01 00:00:00",922
"2021-09-01 00:00:00",977
"2021-10-01 00:00:00",1166
"2021-11-01 00:00:00",970
"2021-12-01 00:00:00",1057
"2022-01-01 00:00:00",915
"2022-02-01 00:00:00",891
"2022-03-01 00:00:00",1086
"2022-04-01 00:00:00",857
"2022-05-01 00:00:00",1090
"2022-06-01 00:00:00",916
"2022-07-01 00:00:00",1021
"2022-08-01 00:00:00",1060
"2022-09-01 00:00:00",1082
"2022-10-01 00:00:00",1175
"2022-11-01 00:00:00",1132
"2022-12-01 00:00:00",1124
"2023-01-01 00:00:00",1012
"2023-02-01 00:00:00",1072
"2023-03-01 00:00:00",1230
"2023-04-01 00:00:00",1177
"2023-05-01 00:00:00",1151
"2023-06-01 00:00:00",1121
"2023-07-01 00:00:00",1117
"2023-08-01 00:00:00",1221
"2023-09-01 00:00:00",1219
"2023-10-01 00:00:00",1339
"2023-11-01 00:00:00",1309
"2023-12-01 00:00:00",1263
"2024-01-01 00:00:00",1257
"2024-02-01 00:00:00",1506
"2024-03-01 00:00:00",1445
"2024-04-01 00:00:00",1416
"2024-05-01 00:00:00",1610
"2024-06-01 00:00:00",1494
"2024-07-01 00:00:00",1618
"2024-08-01 00:00:00",1727
"2024-09-01 00:00:00",1490
"2024-10-01 00:00:00",1873
"2024-11-01 00:00:00",1817
"2024-12-01 00:00:00",1580
"2025-01-01 00:00:00",1438
"2025-02-01 00:00:00",1348
"2025-03-01 00:00:00",1817
"2025-04-01 00:00:00",1392
